127.0.0.1 - - [17/Apr/2020:20:56:38 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [17/Apr/2020:20:56:39 +0900] "GET /BBS/ HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [17/Apr/2020:20:56:39 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [17/Apr/2020:20:56:39 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [17/Apr/2020:20:56:39 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [17/Apr/2020:20:56:57 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [17/Apr/2020:20:56:57 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [17/Apr/2020:20:56:59 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [17/Apr/2020:20:57:02 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [17/Apr/2020:20:58:01 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [17/Apr/2020:20:58:01 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:20:58:02 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:20:58:15 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:06:32 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:06:32 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:06:32 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:33:53 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 500 3806
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:37:02 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:37:33 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:37:38 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:37:42 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:57:21 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:57:23 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:57:23 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:57:24 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:57:29 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:57:29 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:57:39 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:57:42 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:57:47 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:58:32 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:58:32 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:58:50 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [17/Apr/2020:21:58:50 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 766
