127.0.0.1 - - [01/Jun/2020:10:55:20 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [01/Jun/2020:10:55:21 +0900] "GET /BBS/ HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [01/Jun/2020:10:55:21 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [01/Jun/2020:10:55:21 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [01/Jun/2020:10:55:21 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [01/Jun/2020:10:55:23 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4209
0:0:0:0:0:0:0:1 - - [01/Jun/2020:10:55:26 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [01/Jun/2020:10:55:29 +0900] "GET /BBS/scview.jsp HTTP/1.1" 200 2611
0:0:0:0:0:0:0:1 - - [01/Jun/2020:10:57:19 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2346
0:0:0:0:0:0:0:1 - - [01/Jun/2020:10:57:23 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [01/Jun/2020:10:57:25 +0900] "GET /BBS/scview.jsp HTTP/1.1" 200 2611
0:0:0:0:0:0:0:1 - - [01/Jun/2020:10:58:43 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4209
0:0:0:0:0:0:0:1 - - [01/Jun/2020:10:58:44 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [01/Jun/2020:10:58:46 +0900] "GET /BBS/schedule.jsp HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [01/Jun/2020:10:58:56 +0900] "GET /BBS/scview.jsp HTTP/1.1" 200 2614
